frame,totalAllocated,textureMemory,meshMemory,materialCount,objectCount,totalGCAllocated,globalIllumination,gcAllocated
206,402147328,14669824,217088,36,2245,11190272,0,15360
207,402123776,14669824,217088,36,2245,11210752,0,15360
208,402864128,14669824,217088,36,2245,11231232,0,15360
209,403530752,14669824,217088,36,2245,11251712,0,15360
210,403910656,14669824,217088,36,2245,11268096,0,15360
211,403533824,14669824,217088,36,2245,11280384,0,15360
212,403959808,14669824,217088,36,2245,11300864,0,16384
213,403533824,14669824,217088,36,2245,11325440,0,15360
214,403642368,14669824,217088,36,2245,11350016,0,15360
215,404038656,14669824,217088,36,2245,11366400,0,15360
216,404589568,14669824,217088,36,2245,11382784,0,15360
217,404724736,14669824,217088,36,2245,11403264,0,15360
218,405160960,14669824,217088,36,2245,11423744,0,15360
219,405176320,14669824,217088,36,2245,11440128,0,15360
220,405900288,14669824,217088,36,2245,11460608,0,15360
221,406554624,14669824,217088,36,2245,11476992,0,15360
222,406579200,14669824,217088,36,2245,11497472,0,15360
223,406986752,14669824,217088,36,2245,11513856,0,15360
224,407676928,14669824,217088,36,2245,11538432,0,15360
225,407698432,14669824,217088,36,2245,11558912,0,15360
226,408128512,14669824,217088,36,2245,11575296,0,15360
227,408793088,14669824,217088,36,2245,11591680,0,15360
228,408792064,14669824,217088,36,2245,11616256,0,15360
229,409239552,14669824,217088,36,2245,11628544,0,15360
230,409903104,14669824,217088,36,2245,11644928,0,15360
231,409905152,14669824,217088,36,2245,11669504,0,16384
232,410366976,14669824,217088,36,2245,11694080,0,15360
233,411001856,14669824,217088,36,2245,11714560,0,15360
234,411035648,14669824,217088,36,2245,11722752,0,15360
235,411478016,14669824,217088,36,2245,11747328,0,15360
236,412132352,14669824,217088,36,2245,11763712,0,15360
237,412534784,14669824,217088,36,2245,11788288,0,15360
238,412553216,14669824,217088,36,2245,11808768,0,15360
239,412974080,14669824,217088,36,2245,11829248,0,15360
240,412991488,14669824,217088,36,2245,11845632,0,15360
241,413710336,14669824,217088,36,2245,11862016,0,15360
242,414341120,14669824,217088,36,2245,11878400,0,15360
243,414786560,14669824,217088,36,2245,11898880,0,15360
244,414784512,14669824,217088,36,2245,11919360,0,15360
245,415204352,14669824,217088,36,2245,11939840,0,15360
246,415221760,14669824,217088,36,2245,11956224,0,15360
247,414268416,14669824,217088,36,2245,10485760,0,15360
248,414635008,14669824,217088,36,2245,10485760,0,15360
249,414635008,14669824,217088,36,2245,10485760,0,15360
250,414261248,14669824,217088,36,2245,10485760,0,16384
251,414928896,14669824,217088,36,2245,10485760,0,15360
252,381789184,14669824,217088,36,2245,10264576,0,52224
253,382702592,14669824,217088,36,2245,10280960,0,44032
254,383127552,14669824,217088,36,2245,10293248,0,15360
255,383537152,14669824,217088,36,2245,10297344,0,15360
256,383550464,14669824,217088,36,2245,10309632,0,15360
257,384249856,14669824,217088,36,2245,10317824,0,15360
258,384903168,14669824,217088,36,2245,10330112,0,15360
259,384887808,14669824,217088,36,2245,10338304,0,15360
260,384906240,14669824,217088,36,2245,10350592,0,15360
261,385283072,14669824,217088,36,2245,10362880,0,15360
262,385978368,14669824,217088,36,2245,10371072,0,15360
263,385988608,14669824,217088,36,2245,10379264,0,15360
264,386391040,14669824,217088,36,2245,10391552,0,15360
265,387060736,14669824,217088,36,2245,10403840,0,16384
266,387094528,14669824,217088,36,2245,10412032,0,15360
267,387477504,14669824,217088,36,2245,10420224,0,15360
268,387486720,14669824,217088,36,2245,10428416,0,15360
269,388198400,14669824,217088,36,2245,10440704,0,15360
270,388570112,14669824,217088,36,2245,10448896,0,15360
271,388580352,14669824,217088,36,2245,10457088,0,15360
272,389265408,14669824,217088,36,2245,10473472,0,15360
273,389941248,14669824,217088,36,2245,10485760,0,15360
274,389946368,14669824,217088,36,2245,10489856,0,15360
275,390381568,14669824,217088,36,2245,10506240,0,15360
276,391035904,14669824,217088,36,2245,10522624,0,15360
277,391057408,14669824,217088,36,2245,10543104,0,15360
278,391472128,14669824,217088,36,2245,10563584,0,15360
279,392153088,14669824,217088,36,2245,10579968,0,15360
280,392233984,14669824,217088,36,2245,10604544,0,19456
281,391631872,14669824,217088,36,2245,10633216,0,24576
282,392034304,14669824,217088,36,2245,10641408,0,15360
283,392335360,14669824,217088,36,2245,10670080,0,16384
284,392768512,14669824,217088,36,2245,10690560,0,15360
285,393445376,14669824,217088,36,2245,10706944,0,15360
286,393461760,14669824,217088,36,2245,10723328,0,15360
287,393884672,14669824,217088,36,2245,10743808,0,15360
288,393879552,14669824,217088,36,2245,10764288,0,15360
289,394589184,14669824,217088,36,2245,10776576,0,15360
290,395290624,14669824,217088,36,2245,10797056,0,15360
291,395304960,14669824,217088,36,2245,10817536,0,15360
292,395705344,14669824,217088,36,2245,10838016,0,15360
293,396383232,14669824,217088,36,2245,10854400,0,15360
294,396607488,14669824,217088,36,2245,10870784,0,15360
295,396826624,14669824,217088,36,2245,10895360,0,15360
296,397217792,14669824,217088,36,2245,10911744,0,15360
297,397231104,14669824,217088,36,2245,10928128,0,15360
298,397932544,14669824,217088,36,2245,10948608,0,15360
299,398622720,14669824,217088,36,2245,10973184,0,15360
300,398636032,14669824,217088,36,2245,10985472,0,16384
301,399044608,14669824,217088,36,2245,11001856,0,21504
302,399910912,14669824,217088,36,2245,11046912,0,40960
303,400203776,14669824,217088,36,2245,11096064,0,37888
304,400657408,14669824,217088,36,2245,11116544,0,15360
305,401313792,14669824,217088,36,2245,11132928,0,15360
306,401713152,14669824,217088,36,2245,11153408,0,15360
307,401730560,14669824,217088,36,2245,11173888,0,15360
308,402147328,14669824,217088,36,2245,11190272,0,15360
309,402123776,14669824,217088,36,2245,11210752,0,15360
310,402864128,14669824,217088,36,2245,11231232,0,15360
311,403530752,14669824,217088,36,2245,11251712,0,15360
312,403910656,14669824,217088,36,2245,11268096,0,15360
313,403533824,14669824,217088,36,2245,11280384,0,15360
314,403959808,14669824,217088,36,2245,11300864,0,16384
315,403533824,14669824,217088,36,2245,11325440,0,15360
316,403642368,14669824,217088,36,2245,11350016,0,15360
317,404038656,14669824,217088,36,2245,11366400,0,15360
318,404589568,14669824,217088,36,2245,11382784,0,15360
319,404724736,14669824,217088,36,2245,11403264,0,15360
320,405160960,14669824,217088,36,2245,11423744,0,15360
321,405176320,14669824,217088,36,2245,11440128,0,15360
322,405900288,14669824,217088,36,2245,11460608,0,15360
323,406554624,14669824,217088,36,2245,11476992,0,15360
324,406579200,14669824,217088,36,2245,11497472,0,15360
325,406986752,14669824,217088,36,2245,11513856,0,15360
326,407676928,14669824,217088,36,2245,11538432,0,15360
327,407698432,14669824,217088,36,2245,11558912,0,15360
328,408128512,14669824,217088,36,2245,11575296,0,15360
329,408793088,14669824,217088,36,2245,11591680,0,15360
330,408792064,14669824,217088,36,2245,11616256,0,15360
331,409239552,14669824,217088,36,2245,11628544,0,15360
332,409903104,14669824,217088,36,2245,11644928,0,15360
333,409905152,14669824,217088,36,2245,11669504,0,16384
334,410366976,14669824,217088,36,2245,11694080,0,15360
335,411001856,14669824,217088,36,2245,11714560,0,15360
336,411035648,14669824,217088,36,2245,11722752,0,15360
337,411478016,14669824,217088,36,2245,11747328,0,15360
338,412132352,14669824,217088,36,2245,11763712,0,15360
339,412534784,14669824,217088,36,2245,11788288,0,15360
340,412553216,14669824,217088,36,2245,11808768,0,15360
341,412974080,14669824,217088,36,2245,11829248,0,15360
342,412991488,14669824,217088,36,2245,11845632,0,15360
343,413710336,14669824,217088,36,2245,11862016,0,15360
344,414341120,14669824,217088,36,2245,11878400,0,15360
345,414786560,14669824,217088,36,2245,11898880,0,15360
346,414784512,14669824,217088,36,2245,11919360,0,15360
347,415204352,14669824,217088,36,2245,11939840,0,15360
348,415221760,14669824,217088,36,2245,11956224,0,15360
349,414268416,14669824,217088,36,2245,10485760,0,15360
350,414635008,14669824,217088,36,2245,10485760,0,15360
351,414635008,14669824,217088,36,2245,10485760,0,15360
352,414261248,14669824,217088,36,2245,10485760,0,16384
353,414928896,14669824,217088,36,2245,10485760,0,15360
354,381789184,14669824,217088,36,2245,10264576,0,52224
355,382702592,14669824,217088,36,2245,10280960,0,44032
356,383127552,14669824,217088,36,2245,10293248,0,15360
357,383537152,14669824,217088,36,2245,10297344,0,15360
358,383550464,14669824,217088,36,2245,10309632,0,15360
359,384249856,14669824,217088,36,2245,10317824,0,15360
360,384903168,14669824,217088,36,2245,10330112,0,15360
361,384887808,14669824,217088,36,2245,10338304,0,15360
362,384906240,14669824,217088,36,2245,10350592,0,15360
363,385283072,14669824,217088,36,2245,10362880,0,15360
364,385978368,14669824,217088,36,2245,10371072,0,15360
365,385988608,14669824,217088,36,2245,10379264,0,15360
366,386391040,14669824,217088,36,2245,10391552,0,15360
367,387060736,14669824,217088,36,2245,10403840,0,16384
368,387094528,14669824,217088,36,2245,10412032,0,15360
369,387477504,14669824,217088,36,2245,10420224,0,15360
370,387486720,14669824,217088,36,2245,10428416,0,15360
371,388198400,14669824,217088,36,2245,10440704,0,15360
372,388570112,14669824,217088,36,2245,10448896,0,15360
373,388580352,14669824,217088,36,2245,10457088,0,15360
374,389265408,14669824,217088,36,2245,10473472,0,15360
375,389941248,14669824,217088,36,2245,10485760,0,15360
376,389946368,14669824,217088,36,2245,10489856,0,15360
377,390381568,14669824,217088,36,2245,10506240,0,15360
378,391035904,14669824,217088,36,2245,10522624,0,15360
379,391057408,14669824,217088,36,2245,10543104,0,15360
380,391472128,14669824,217088,36,2245,10563584,0,15360
381,392153088,14669824,217088,36,2245,10579968,0,15360
382,392233984,14669824,217088,36,2245,10604544,0,19456
383,391631872,14669824,217088,36,2245,10633216,0,24576
384,392034304,14669824,217088,36,2245,10641408,0,15360
385,392335360,14669824,217088,36,2245,10670080,0,16384
386,392768512,14669824,217088,36,2245,10690560,0,15360
387,393445376,14669824,217088,36,2245,10706944,0,15360
388,393461760,14669824,217088,36,2245,10723328,0,15360
389,393884672,14669824,217088,36,2245,10743808,0,15360
390,393879552,14669824,217088,36,2245,10764288,0,15360
391,394589184,14669824,217088,36,2245,10776576,0,15360
392,395290624,14669824,217088,36,2245,10797056,0,15360
393,395304960,14669824,217088,36,2245,10817536,0,15360
394,395705344,14669824,217088,36,2245,10838016,0,15360
395,396383232,14669824,217088,36,2245,10854400,0,15360
396,396607488,14669824,217088,36,2245,10870784,0,15360
397,396826624,14669824,217088,36,2245,10895360,0,15360
398,397217792,14669824,217088,36,2245,10911744,0,15360
399,397231104,14669824,217088,36,2245,10928128,0,15360
400,397932544,14669824,217088,36,2245,10948608,0,15360
401,398622720,14669824,217088,36,2245,10973184,0,15360
402,398636032,14669824,217088,36,2245,10985472,0,16384
403,399044608,14669824,217088,36,2245,11001856,0,21504
404,399910912,14669824,217088,36,2245,11046912,0,40960
405,400203776,14669824,217088,36,2245,11096064,0,37888
406,400657408,14669824,217088,36,2245,11116544,0,15360
407,401313792,14669824,217088,36,2245,11132928,0,15360
408,401713152,14669824,217088,36,2245,11153408,0,15360
409,401730560,14669824,217088,36,2245,11173888,0,15360
410,402147328,14669824,217088,36,2245,11190272,0,15360
411,402123776,14669824,217088,36,2245,11210752,0,15360
412,402864128,14669824,217088,36,2245,11231232,0,15360
413,403530752,14669824,217088,36,2245,11251712,0,15360
414,403910656,14669824,217088,36,2245,11268096,0,15360
415,403533824,14669824,217088,36,2245,11280384,0,15360
416,403959808,14669824,217088,36,2245,11300864,0,16384
417,403533824,14669824,217088,36,2245,11325440,0,15360
418,403642368,14669824,217088,36,2245,11350016,0,15360
419,404038656,14669824,217088,36,2245,11366400,0,15360
420,404589568,14669824,217088,36,2245,11382784,0,15360
421,404724736,14669824,217088,36,2245,11403264,0,15360
422,405160960,14669824,217088,36,2245,11423744,0,15360
423,405176320,14669824,217088,36,2245,11440128,0,15360
424,405900288,14669824,217088,36,2245,11460608,0,15360
425,406554624,14669824,217088,36,2245,11476992,0,15360
426,406579200,14669824,217088,36,2245,11497472,0,15360
427,406986752,14669824,217088,36,2245,11513856,0,15360
428,407676928,14669824,217088,36,2245,11538432,0,15360
429,407698432,14669824,217088,36,2245,11558912,0,15360
430,408128512,14669824,217088,36,2245,11575296,0,15360
431,408793088,14669824,217088,36,2245,11591680,0,15360
432,408792064,14669824,217088,36,2245,11616256,0,15360
433,409239552,14669824,217088,36,2245,11628544,0,15360
434,409903104,14669824,217088,36,2245,11644928,0,15360
435,409905152,14669824,217088,36,2245,11669504,0,16384
436,410366976,14669824,217088,36,2245,11694080,0,15360
437,411001856,14669824,217088,36,2245,11714560,0,15360
438,411035648,14669824,217088,36,2245,11722752,0,15360
439,411478016,14669824,217088,36,2245,11747328,0,15360
440,412132352,14669824,217088,36,2245,11763712,0,15360
441,412534784,14669824,217088,36,2245,11788288,0,15360
442,412553216,14669824,217088,36,2245,11808768,0,15360
443,412974080,14669824,217088,36,2245,11829248,0,15360
444,412991488,14669824,217088,36,2245,11845632,0,15360
445,413710336,14669824,217088,36,2245,11862016,0,15360
446,414341120,14669824,217088,36,2245,11878400,0,15360
447,414786560,14669824,217088,36,2245,11898880,0,15360
448,414784512,14669824,217088,36,2245,11919360,0,15360
449,415204352,14669824,217088,36,2245,11939840,0,15360
450,415221760,14669824,217088,36,2245,11956224,0,15360
451,414268416,14669824,217088,36,2245,10485760,0,15360
452,414635008,14669824,217088,36,2245,10485760,0,15360
453,414635008,14669824,217088,36,2245,10485760,0,15360
454,414261248,14669824,217088,36,2245,10485760,0,16384
