frame,batches,setPassCall,triangles,vertices
394,2,2,1024,4096
395,2,2,1024,4096
396,2,2,1024,4096
397,2,2,1024,4096
398,2,2,1024,4096
399,2,2,1024,4096
400,2,2,1024,4096
401,2,2,1024,4096
402,2,2,1024,4096
403,2,2,1024,4096
404,2,2,1024,4096
405,2,2,1024,4096
406,2,2,1024,4096
407,2,2,1024,4096
408,2,2,1024,4096
409,2,2,1024,4096
410,2,2,1024,4096
411,2,2,1024,4096
412,2,2,1024,4096
413,2,2,1024,4096
414,2,2,1024,4096
415,2,2,1024,4096
416,2,2,1024,4096
417,2,2,1024,4096
418,2,2,1024,4096
419,2,2,1024,4096
420,2,2,1024,4096
421,2,2,1024,4096
422,2,2,1024,4096
423,2,2,1024,4096
424,2,2,1024,4096
425,2,2,1024,4096
426,2,2,1024,4096
427,2,2,1024,4096
428,2,2,1024,4096
429,2,2,1024,4096
430,2,2,1024,4096
431,2,2,1024,4096
432,2,2,1024,4096
433,2,2,1024,4096
434,2,2,1024,4096
435,2,2,1024,4096
436,2,2,1024,4096
437,2,2,1024,4096
438,2,2,1024,4096
439,2,2,1024,4096
440,2,2,1024,4096
441,2,2,1024,4096
442,2,2,1024,4096
443,2,2,1024,4096
444,2,2,1024,4096
445,2,2,1024,4096
446,2,2,1024,4096
447,2,2,1024,4096
448,2,2,1024,4096
449,2,2,1024,4096
450,2,2,1024,4096
451,2,2,1024,4096
452,2,2,1024,4096
453,2,2,1024,4096
454,2,2,1024,4096
